TransactionID,SaleDate,Store,Province,ProductID,UnitPrice,QuantitySold
169,"Jan 16, 2025",Winnipeg,MB,4,30.43,5
170,2025-01-12,Regina,SK,6,806.1,3
171,"Jan 19, 2025",Winnipeg,MB,4,30.43,10
172,2025-01-24,Regina,SK,2,129.76,1
173,2025-01-27,Regina,SK,1,1491.65,2
174,01-21-2025,Calgary,AB,1,,5
175,21-Jan-2025,Edmonton,AB,5,85.73,1
176,01-Jan-2025,Edmonton,AB,5,85.73,1
177,26-Jan-2025,Edmonton,AB,4,30.43,5
178,21-Jan-2025,Edmonton,AB,3,143.93,4
179,13-Jan-2025,Edmonton,AB,6,806.1,9
180,2025-01-24,Regina,SK,4,30.43,5
181,29/01/2025,Saskatoon,SK,5,,3
182,24-Jan-2025,Edmonton,AB,2,129.76,6
183,01-02-2025,Calgary,AB,3,143.93,10
184,01-26-2025,Calgary,AB,1,1491.65,1
185,2025-01-16,Regina,SK,6,806.1,8
186,"Jan 24, 2025",Winnipeg,MB,1,1491.65,9
187,2025-01-27,Regina,SK,4,30.43,2
188,"Jan 26, 2025",Winnipeg,MB,5,,10
189,12/01/2025,Saskatoon,SK,5,85.73,2
190,16-Jan-2025,Edmonton,AB,2,129.76,9
191,17/01/2025,Saskatoon,SK,4,30.43,7
192,2025-01-27,Regina,SK,4,30.43,4
193,07/01/2025,Saskatoon,SK,5,85.73,8
194,01-20-2025,Calgary,AB,5,85.73,2
195,16/01/2025,Saskatoon,SK,6,806.1,1
196,07-Jan-2025,Edmonton,AB,2,129.76,5
197,23-Jan-2025,Edmonton,AB,5,85.73,5
198,23/01/2025,Saskatoon,SK,4,30.43,2
199,14-Jan-2025,Edmonton,AB,4,30.43,8
200,26-Jan-2025,Edmonton,AB,4,30.43,3
